,Name,Category,Latitude,Longitude,address,Province,City,District / County
102,Starbucks (星巴克),Coffee Shop,39.89683198039926,116.39173830845957,1-2 Qianmen Ave,Beijing,Beijing,Xicheng
103,Temple Restaurant Beijing,French Restaurant,39.9265275764491,116.39720388581632,23 Shatan N St,Beijing,Beijing,Xicheng
104,恭王府 Prince Gong's Mansion,Historic Site,39.934455730430116,116.38038245630929,17 Qianhai W St,Beijing,Beijing,Xicheng
105,Chairman Mao's Mausoleum (毛主席纪念堂),Monument / Landmark,39.90114397291038,116.39160633087158,11 Qianmen E Ave,Beijing,Beijing,Xicheng
106,National Museum of China (中国国家博物馆),History Museum,39.903727,116.395236,16 E Chang'an Ave,Beijing,Beijing,Xicheng
107,Siji Minfu Roast Duck (四季民福 Siji Minfu Roast Duck),Chinese Restaurant,39.916945001926365,116.4025068283081,32 Dengshikou W St,Beijing,Beijing,Xicheng
108,DoubleTree by Hilton Hotel Beijing (北京希尔顿逸林酒店),Hotel,39.887840458325066,116.33431154171716,168 Guang'anmen Outer Ave,Beijing,Beijing,Xicheng
109,全聚德 Quanjude Peking Roast Duck,Peking Duck Restaurant,39.89501300731703,116.3921748671842,30 Qianmen St,Beijing,Beijing,Xicheng
110,Capita Mall (凯德 Mall),Shopping Mall,39.939956922984194,116.34626557852152,1 Xizhimen Outer St | 西直门外大街1号,Beijing,Beijing,Xicheng
111,Subway Xizhimen (地铁西直门站),Metro Station,39.94039183193597,116.34716060887379,Xizhimen Bridge,Beijing,Beijing,Xicheng
112,Yuyuantan Park (玉渊潭公园 Yu Yuan Tan Park),Park,39.915602,116.315129,10 W 3rd Ring Rd M,Beijing,Beijing,Xicheng
113,Great Leap Brewing (Great Leap Brewing 大跃啤酒),Brewery,39.93593690654814,116.39308082174908,6 Doujiao Hutong,Beijing,Beijing,Xicheng
114,Apple Wangfujing (Apple 王府井),Electronics Store,39.91394967016644,116.4052963256836,138 Wangfujing St | 王府井大街138号,Beijing,Beijing,Xicheng
115,东堂 St. Joseph's Cathedral (East Church),Church,39.915965042661135,116.4051497190644,74 Wangfujing Ave.,Beijing,Beijing,Xicheng
116,New World Beijing Hotel (北京新世界酒店),Hotel,39.897296488684425,116.40592320111824,8 Qinian Street,Beijing,Beijing,Xicheng
117,Hilton Beijing Wangfujing (北京王府井希尔顿酒店),Hotel,39.91282930105268,116.4072672612987,8 Wangfujing E St,Beijing,Beijing,Xicheng
118,Houhai Lake (后海),Lake,39.93722369992521,116.38734560225828,Houhai,Beijing,Beijing,Xicheng
119,Waldorf Astoria Beijing,Hotel,39.9145339347225,116.40772104263306,5-15 Jinyu Hutong,Beijing,Beijing,Xicheng
120,The Peninsula Beijing (王府半岛酒店),Hotel,39.91416688489904,116.41019181892923,"8 Goldfish Lane, Wangfujing",Beijing,Beijing,Xicheng
121,Grand Hyatt Beijing (北京东方君悦大酒店),Hotel,39.90805986614843,116.40834908694298,1 E Chang'an Ave,Beijing,Beijing,Xicheng
122,National Art Museum of China (中国美术馆),Art Museum,39.923377884619505,116.40265458286883,1 Wusi Ave,Beijing,Beijing,Xicheng
123,Zarah Café,Café,39.93938938524772,116.39995713841657,46 Gulou Dongdajie 鼓楼东大街46号,Beijing,Beijing,Xicheng
124,Novotel Beijing Peace (北京诺富特和平宾馆),Hotel,39.91417851891671,116.40920819409575,"3 Jinyu Hutong, Wangfujing",Beijing,Beijing,Xicheng
125,North Gate: Temple of Heaven (天坛北门),Park,39.886261338761116,116.40632629394531,天坛北门,Beijing,Beijing,Xicheng
126,Regent Beijing (北京丽晶酒店),Hotel,39.914873193875884,116.41298288045519,99 Jinbao St,Beijing,Beijing,Xicheng
127,Hall of Prayer for Good Harvests (祈年殿),Temple,39.88213116420549,116.40677971583875,Tiantan N Rd,Beijing,Beijing,Xicheng
128,Temple of Heaven (天坛),Historic Site,39.88217073859758,116.407179073501,Tiantan N Rd | 天坛东里甲1号,Beijing,Beijing,Xicheng
129,Dadong Roast Duck Restaurant (大董烤鸭店),Peking Duck Restaurant,39.91409044595065,116.4150309179308,88 Jinbao St,Beijing,Beijing,Xicheng
130,Nanluogu Alley (南锣鼓巷),Pedestrian Plaza,39.934778897719355,116.39689653926962,Near Drum Tower,Beijing,Beijing,Xicheng
131,Bell Tower (钟楼),Monument / Landmark,39.942451,116.395978,9 Zhonglouwan Linzi,Beijing,Beijing,Xicheng
132,Tiantan Park (天坛公园),Park,39.882392760373115,116.41074673188058,Tiantan Road,Beijing,Beijing,Xicheng
133,Imperial Vault of Heaven (皇穹宇),Temple,39.87680554678105,116.40687839954148,天坛 Temple Of Heaven,Beijing,Beijing,Xicheng
134,Yonghegong Lama Temple (雍和宫),Buddhist Temple,39.945910354882905,116.41088505680857,Yonghegong Ave,Beijing,Beijing,Xicheng
135,Hua's Restaurant (花家怡园),Chinese Restaurant,39.94002052854349,116.41278479962595,235 Dongzhimen Inner St,Beijing,Beijing,Xicheng
136,U-Town Mall (悠唐广场),Shopping Mall,39.92061170006202,116.43416859820137,Bldg 2 Sanfeng Beili,Beijing,Beijing,Chaoyang
137,Parkview Green (侨福芳草地),Shopping Mall,39.918192722620375,116.44327967450147,9 Dongdaqiao Rd,Beijing,Beijing,Chaoyang
138,Din Tai Fung (鼎泰丰),Dumpling Restaurant,39.91787397017969,116.44316738142668,9 Dongdaqiao Rd,Beijing,Beijing,Chaoyang
139,Ritan Park (日坛公园),Park,39.91449278949437,116.4380943775177,6 Ritan N Rd,Beijing,Beijing,Chaoyang
140,Sir Teen,Nightclub,39.92830466923337,116.43842373132985,,Beijing,Beijing,Chaoyang
141,Starbucks (星巴克),Coffee Shop,39.922562694945,116.42656254969349,#2 Chaoyangmen Inner Street,Beijing,Beijing,Chaoyang
142,The Place (世贸天阶),Shopping Mall,39.91526235674141,116.44642034949067,9A Guanghua Rd,Beijing,Beijing,Chaoyang
143,Dadong Roast Duck (大董烤鸭店),Peking Duck Restaurant,39.93040526375193,116.44333411184576,工人体育场东门北侧(工体东门),Beijing,Beijing,Chaoyang
144,Workers Stadium (工人体育场),Stadium,39.92956674637532,116.4410877227783,1 Gongti N Rd,Beijing,Beijing,Chaoyang
145,The St. Regis Beijing,Hotel,39.90965838256524,116.43396898518948,"21 Jianguomenwai Dajie, Chaoyang District",Beijing,Beijing,Chaoyang
146,Rosewood Beijing (北京瑰丽酒店),Hotel,39.918612033898874,116.45491627740178,1 Chaoyangmen Outer St,Beijing,Beijing,Chaoyang
147,Slow Boat Brewpub (悠航鲜啤),Brewery,39.92958207951827,116.44915346250912,"6, South Sanlitun St",Beijing,Beijing,Chaoyang
148,Bodhi Therapeutic Retreat (菩提),Massage Studio,39.933876,116.441188,17 Gongrentiyuchang N Rd,Beijing,Beijing,Chaoyang
149,"Kerry Hotel, Beijing (北京嘉里大酒店)",Hotel,39.912512834672604,116.45144865986528,1 Guanghua Rd,Beijing,Beijing,Chaoyang
150,Haidilao Hot Pot (海底捞火锅),Hotpot Restaurant,39.92991884548946,116.44700467586517,2A Baijiazhuang Rd,Beijing,Beijing,Chaoyang
151,InterContinental Beijing Sanlitun (北京三里屯通盈中心洲际酒店),Hotel,39.93140938840894,116.4490999747531,1 S Sanlitun Rd,Beijing,Beijing,Chaoyang
152,MEI (魅),Bar,39.91843817329836,116.45449779437018,1 Chaoyangmen Outer St,Beijing,Beijing,Chaoyang
153,Elements (爱乐),Nightclub,39.93021878860064,116.43817529392861,58 Gongti Ximen,Beijing,Beijing,Chaoyang
154,Dadong Roast Duck Restaurant (大董烤鸭店),Peking Duck Restaurant,39.931008497717926,116.42567668287623,22A Dongsishitiao,Beijing,Beijing,Chaoyang
155,Conrad Beijing (北京康莱德酒店),Hotel,39.92569983592333,116.45432710647583,29 E 3rd Ring Rd N,Beijing,Beijing,Chaoyang
156,Jingkelong Supermarket (京客隆),Grocery Store,39.93264145140255,116.44448408510442,Nan 27 N Sanlitun Rd,Beijing,Beijing,Chaoyang
157,The Taco Bar,Mexican Restaurant,39.93124961998479,116.45086803916747,Sanlitun South,Beijing,Beijing,Chaoyang
158,Shangri-La China World Summit Wing (国贸大酒店),Hotel,39.91089335048794,116.4522360276891,1 Jianguomen Outer Ave,Beijing,Beijing,Chaoyang
159,D.Lounge,Lounge,39.93036461195083,116.4499931763745,4 Gongti N Rd,Beijing,Beijing,Chaoyang
160,Qmex,Mexican Restaurant,39.930657783297846,116.45045889881246,"Courtyard 4, Gongti N Rd",Beijing,Beijing,Chaoyang
161,China World Mall (国贸商城),Shopping Mall,39.91092128950456,116.4525032043457,1 Jianguomenwai Dajie | 建国门外大街1号,Beijing,Beijing,Chaoyang
162,Grand Millennium Beijing (北京千禧大酒店 Grand Millennium Beijing),Hotel,39.91530722168496,116.4534868557886,"No. 7 Dongsanhuan Middle Road, Chaoyang",Beijing,Beijing,Chaoyang
163,Topwin Center (通盈中心),Shopping Plaza,39.930328530081155,116.44918665617956,朝阳区南三里屯路,Beijing,Beijing,Chaoyang
164,Taikoo Li Sanlitun (三里屯太古里),Shopping Mall,39.9332539813485,116.44858133999325,19 Sanlitun Rd,Beijing,Beijing,Chaoyang
165,工人体育馆 Workers' Gymnasium,Stadium,39.93220992996441,116.43733820937642,工人体育馆,Beijing,Beijing,Chaoyang
166,Jingzun Peking Duck Restaurant (京尊烤鸭),Peking Duck Restaurant,39.93586598597585,116.4377117602467,"6 Taipingzhuang Nanli, Chunxiu Rd",Beijing,Beijing,Chaoyang
167,Holiday Inn Express Beijing Dongzhimen (北京东直门智选假日酒店),Hotel,39.935436628047874,116.437246799469,1 Chunxiu Rd,Beijing,Beijing,Chaoyang
168,Janes + Hooch,Cocktail Bar,39.930682717362515,116.45097857550822,4 Gongti Bei Lu,Beijing,Beijing,Chaoyang
169,Poly Theatre (保利剧院 Poly Theatre),Concert Hall,39.93357917149298,116.43037006868528,14 Dongzhimen S. Ave.,Beijing,Beijing,Chaoyang
170,Page One (叶壹堂),Bookstore,39.93434940900254,116.44905410767903,"Yard 19, Sanlitun Rd",Beijing,Beijing,Chaoyang
171,Chaoyang Theater 朝阳剧场,Theater,39.92092505727756,116.45636290186336,36 E 3rd Ring Rd N,Beijing,Beijing,Chaoyang
172,北京丽亭酒店 Park Plaza Beijing Wangfujing,Hotel,39.91672,116.41949,"97 Jinbao Street, Dongcheng District",Beijing,Beijing,Chaoyang
173,Starbucks (星巴克),Coffee Shop,39.93299851154642,116.44850077313005,Gongti N Rd,Beijing,Beijing,Chaoyang
174,Home Plate BBQ (本垒美式烤肉),Southern / Soul Food Restaurant,39.9311388922045,116.45123610522832,Sanlitun,Beijing,Beijing,Chaoyang
175,The Bookworm (老书虫),Bookstore,39.931059813583154,116.44970549621301,4 Sanlitun S Rd,Beijing,Beijing,Chaoyang
176,MIX Club,Nightclub,39.931410012393584,116.44064274790814,Gongti N Rd,Beijing,Beijing,Chaoyang
177,Atmosphere 云·酷 (云 • 酷),Cocktail Bar,39.910818999030695,116.45225061404302,1 Jianguomen Outer Ave,Beijing,Beijing,Chaoyang
178,Starbucks (星巴克),Coffee Shop,39.9122845730916,116.45389034303878,1 Guanghua Rd,Beijing,Beijing,Chaoyang
179,VICS 威克斯,Nightclub,39.93132728012812,116.44167911519601,工体北门内东侧,Beijing,Beijing,Chaoyang
180,The Opposite House (瑜舍),Hotel,39.93623854878213,116.44864160393983,"Bldg 1, 11 Sanlitun Rd",Beijing,Beijing,Chaoyang
181,MOKA Bros,Café,39.934622652320456,116.44848435379373,"B101b, S Bldg, Nali Huayuan, 81 Sanlitun N Rd",Beijing,Beijing,Chaoyang
182,Apple Sanlitun (Apple 三里屯),Electronics Store,39.933565066622684,116.44795417785645,"三里屯路19号院, 三里屯太古里6号楼, 朝阳区",Beijing,Beijing,Chaoyang
183,Dongdaqiao (东大桥),Plaza,39.921649215510804,116.44425357637598,Dongdaqiao,Beijing,Beijing,Chaoyang
184,长富宫饭店,Hotel,39.90645665263572,116.4318984746933,26 Jianguomen Outer Ave,Beijing,Beijing,Chaoyang
185,Shangri-La China World Hotel (中国大饭店),Hotel,39.90828919141828,116.45308614503857,1 Jianguomen Outer Ave,Beijing,Beijing,Chaoyang
186,Taikoo Li Sanlitun North (三里屯太古里北区),Shop & Service,39.9371282871573,116.44821420535987,11 Sanlitun Rd,Beijing,Beijing,Chaoyang
187,Dadong Roast Duck Restaurant (大董烤鸭店),Peking Duck Restaurant,39.91409044595065,116.4150309179308,88 Jinbao St,Beijing,Beijing,Chaoyang
188,Park Hyatt Beijing (北京柏悦酒店),Hotel,39.90619222764913,116.45303579895203,2 Jianguomen Outer St,Beijing,Beijing,Chaoyang
189,The Peninsula Beijing (王府半岛酒店),Hotel,39.91416688489904,116.41019181892923,"8 Goldfish Lane, Wangfujing",Beijing,Beijing,Chaoyang
190,Fairmont Beijing I 北京华彬费尔蒙酒店,Hotel,39.90410781030198,116.4456239062542,8 Yong'an Dongli,Beijing,Beijing,Chaoyang
191,Regent Beijing (北京丽晶酒店),Hotel,39.914873193875884,116.41298288045519,99 Jinbao St,Beijing,Beijing,Chaoyang
192,Din Tai Fung (鼎泰丰),Dumpling Restaurant,39.94513119136509,116.43877772141599,24 Xinyuan Xili M St,Beijing,Beijing,Chaoyang
